submitted_name,normalized_name,proposed_formula,matched_existing_object,match_type,ev_state,hold_kind,failure_class,final_disposition,blocker_subtype,residual_home,confidence,source,note,object_type,evidence_state,blocker_id,owner
Frantic Mirage (Frenzy),franticmiragefrenzy,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Frozen Butterfly (Leg Freezer),frozenbutterflylegfreezer,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Furious Butterfly (Jani Walker),furiousbutterflyjaniwalker,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Fusing Mirage (Philibuster),fusingmiragephilibuster,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Go-Go (stepping backspinning),gogosteppingbackspinning,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,FB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Guillotine / Cower,guillotinecower,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
GYBAS/Grab Your Balls and Squeeze,gybasgrabyourballsandsqueeze,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,PB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Gyro Diving Symposium Whirl (Colossus),gyrodivingsymposiumwhirlcolossus,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Gyro Double Down (Bullwhip),gyrodoubledownbullwhip,,same-formula-row,formula-identity,alias,alias,ambiguous-terminal-mechanic,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Gyro Shaft (Symposium Bullwhip),gyroshaftsymposiumbullwhip,,same-formula-row,formula-identity,alias,alias,ambiguous-terminal-mechanic,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Gyro Symp Swirl,gyrosympswirl,,same-formula-row,formula-identity,alias,alias,,A,,,high,PB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Gyro Symposium Torque Screw (Moirius),gyrosymposiumtorquescrewmoirius,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
High Plains Drifter / Barrifter,highplainsdrifterbarrifter,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
High Stepping Butterfly (Sunil Walk),highsteppingbutterflysunilwalk,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Hopover Spitfire (Furnace),hopoverspitfirefurnace,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Illusioning far Osis,illusioningfarosis,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,PB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Illusioning far Symp. Butterfly,illusioningfarsympbutterfly,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,PB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Illusioning Legover,illusioninglegover,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,MULTI,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Illusioning Legover (Eggbeater),illusioninglegovereggbeater,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
