t1,t2,t3,occurrences,years,players,add_1,add_2,add_3,current_total_add,raw_total_reported,parity_vector,sequence_parity,link1,link1_note,link2,link2_note,surface_chain
smog,terraging_legover,paradon,1,2006,,4,5,4,13,,PUS,UNDETERMINED,COMPATIBLE_VIA_FLEXIBLE_SET,A ends TOE; B entry is a generic set,NOT_MODELED,"A terminal is unparsed, no carried delay state",TOE->TOE | ANY->ANY | TOE->CLIP
sumo,atomic_drifter,bedwetter,2,2008|2009,Damian Gielnicki,5,4,4,13,,PPS,OPPOSITE_FOOT,COMPATIBLE,A ends TOE; B enters TOE,APPARENTLY_INCOMPATIBLE,A ends CLIP; B requires TOE entry,CLIP->TOE | TOE->CLIP | TOE->TOE
witchdoctor,assassin,smog,1,2003,,5,4,4,13,,SPP,OPPOSITE_FOOT,COMPATIBLE,A ends TOE; B enters TOE,COMPATIBLE,A ends TOE; B enters TOE,TOE->TOE | TOE->TOE | TOE->TOE
atomic_butterfly,paradox_whirl,spinning_osis,1,2007,,4,4,4,12,,SSS,OPPOSITE_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,TOE->CLIP | CLIP->CLIP | CLIP->CLIP
bedwetter,dimwalk,paradox_whirl,1,2012,Andreas Nawrath,4,4,4,12,,SPS,SAME_FOOT,COMPATIBLE,A ends TOE; B enters TOE,COMPATIBLE,A ends CLIP; B enters CLIP,TOE->TOE | TOE->CLIP | CLIP->CLIP
blizzard,atomic_butterfly,blurriest,1,2009,,3,4,5,12,,SSS,OPPOSITE_FOOT,COMPATIBLE,A ends TOE; B enters TOE,COMPATIBLE,A ends CLIP; B enters CLIP,ANY->TOE | TOE->CLIP | CLIP->CLIP
blur,atomic_butterfly,barfly,1,2009,,4,4,4,12,,SSS,OPPOSITE_FOOT,COMPATIBLE,A ends TOE; B enters TOE,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->TOE | TOE->CLIP | CLIP->CLIP
dimwalk,blur,paradon,1,2009,,4,4,4,12,,PSS,SAME_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends TOE; B enters TOE,TOE->CLIP | CLIP->TOE | TOE->CLIP
dimwalk,diving_butterfly,ducking_butterfly,1,2009,Andreas Hoffmann,4,4,4,12,,PVV,UNDETERMINED,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,TOE->CLIP | ANY->CLIP | ANY->CLIP
fairy_butterfly,ripwalk,spinning_whirl,1,2019,Johnny Sarah,4,4,4,12,,VSP,UNDETERMINED,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,TOE->CLIP | CLIP->CLIP | CLIP->CLIP
ripwalk,blur,atomic_butterfly,1,2003,,4,4,4,12,,SSS,OPPOSITE_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends TOE; B enters TOE,CLIP->CLIP | CLIP->TOE | TOE->CLIP
whirl,paradox_whirl,paradox_symposium_whirl,1,2008,,3,4,5,12,,PSS,SAME_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,ANY->CLIP | CLIP->CLIP | CLIP->CLIP
ripwalk,blur,symposium_mirage,1,2003,,4,4,3,11,,SSP,SAME_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE_VIA_FLEXIBLE_SET,A ends TOE; B entry is a generic set,CLIP->CLIP | CLIP->TOE | ANY->TOE
ripwalk,paradox_mirage,atomic_butterfly,1,2007,,4,3,4,11,,SPS,SAME_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends TOE; B enters TOE,CLIP->CLIP | CLIP->TOE | TOE->CLIP
