canonical_slug,canonical_display_name,frontier_tier,frontier_failures,recommended_action,raw_source_count,source_family_count,source_families,source_systems,in_canonical_db,canonical_publication_status,canonical_official_add,canonical_has_notation,canonical_has_op_notation,notation_source_count,notation_canonical,notation_fm,notation_fborg,notation_passback,notation_stanford,notation_internal_ts,parser_status,per_family_add_claims,add_claim_min,add_claim_max,add_claim_spread,doctrine_divergence_tier,composite_modifier_flag
gilan,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Toe > Same In (DEX) >> (back) Spin (BOD) >> Op In (DEX) > Op Out (DEX) > Same Toe (DEL),,,Z+1.\-1-0+Z,Toe > Same In (DEX) >> (back) Spin (BOD) >> Op In (DEX) > Op Out (DEX) > Same Toe (DEL),parser-clean,fm=5;stanford=5,5,5,0,none,0
guay,guay,1_safest,,publish_as_is,4,3,"canonical,passback,stanford","canonical_db,passback_intake,passback_source_links,stanford_corpus",1,canonical_active,2,1,1,3,[set] > leggy in dex > ss inside,,,Pickup,*.-1+L,,parser-clean,canonical=2;stanford=2,2,2,0,none,0
guillotine,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Toe > Same Out (DEX) >> Duck (BOD) >> Op In (DEX) > Op Toe (DEL),,,Z+0^-1-Z,Toe > Same Out (DEX) >> Duck (BOD) >> Op In (DEX) > Op Toe (DEL),parser-clean,fm=4;stanford=4,4,4,0,none,0
heart,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,passback","fm_inventory,fm_symbolic_grammar,passback_intake,tracked_names_ts",0,,,0,0,1,,,,Frantic far Double Down Swirl,,,no-stanford,fm=6;passback=5,5,6,1,small,0
icon,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Clip >> (front) Spin (BOD) >> Same Out (DEX) > Same Toe (DEL),,,X./+0+Z,Clip >> (front) Spin (BOD) >> Same Out (DEX) > Same Toe (DEL),parser-clean,fm=3;stanford=3,3,3,0,none,0
inspinning-clipper,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,1,,,,,X./-X,,parser-clean,fm=3;stanford=3,3,3,0,none,0
inspinning-osis,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,1,,,,,X.//+X,,parser-clean,fm=3;stanford=4,3,4,1,small,0
inspinning-same-side-butterfly,,1_safest,,promote_with_notation,4,3,"fborg,fm,internal_ts","fborg_insert_staging,fborg_text,fm_symbolic_grammar,tracked_names_ts",0,,,0,0,3,,CLIP > (front) SPIN [BOD] > OP OUT [DEX] > OP CLIP [XBD] [DEL],CLIP > (front) SPIN [BOD] > OP OUT [DEX] > OP CLIP [XBD] [DEL],,,CLIP > (front) SPIN [BOD] > OP OUT [DEX] > OP CLIP [XBD] [DEL],no-stanford,fborg=4;fm=4,4,4,0,none,0
inspinning-same-side-illusion,,1_safest,,promote_with_notation,4,3,"fborg,fm,internal_ts","fborg_insert_staging,fborg_text,fm_symbolic_grammar,tracked_names_ts",0,,,0,0,3,,CLIP > (front) SPIN [BOD] > OP OUT [DEX] > OP TOE [DEL],CLIP > (front) SPIN [BOD] > OP OUT [DEX] > OP TOE [DEL],,,CLIP > (front) SPIN [BOD] > OP OUT [DEX] > OP TOE [DEL],no-stanford,fborg=3;fm=3,3,3,0,none,0
inspinning-same-side-mirage,,1_safest,,promote_with_notation,4,3,"fborg,fm,internal_ts","fborg_insert_staging,fborg_text,fm_symbolic_grammar,tracked_names_ts",0,,,0,0,3,,CLIP > (front) SPIN [BOD] > OP IN [DEX] > OP TOE [DEL],CLIP > (front) SPIN [BOD] > OP IN [DEX] > OP TOE [DEL],,,CLIP > (front) SPIN [BOD] > OP IN [DEX] > OP TOE [DEL],no-stanford,fborg=3;fm=3,3,3,0,none,0
irish-spring,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Toe > Op Out (DEX) >> (back) Spin (BOD) >> Op In (DEX) > Same Clip (XBD)(DEL),,,Z-0.\-1+X,Toe > Op Out (DEX) >> (back) Spin (BOD) >> Op In (DEX) > Same Clip (XBD)(DEL),parser-clean,fm=5;stanford=5,5,5,0,none,0
juggernaut,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Toe > Same Out (DEX) >> (no plant while) Op Out (DEX) > Op Out (DEX) > Same Toe (DEL),,,Z+0.-0-0+Z,Toe > Same Out (DEX) >> (no plant while) Op Out (DEX) > Op Out (DEX) > Same Toe (DEL),parser-clean,fm=5;stanford=4,4,5,1,small,0
juno-reactor,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Toe > Same In (DEX) > Op Out (DEX) >> Op Front Whirl (DEX)(XDEX) > Op Clip (XBD)(DEL),,,Z+1-0.-1-X,Toe > Same In (DEX) > Op Out (DEX) >> Op Front Whirl (DEX)(XDEX) > Op Clip (XBD)(DEL),parser-clean,fm=6;stanford=6,6,6,0,none,0
leaning-jowler,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Clip > Op In (DEX) >> (front) Spin (BOD) >> Same In (DEX) > Op Toe (DEL),,,X-1./+1-Z,Clip > Op In (DEX) >> (front) Spin (BOD) >> Same In (DEX) > Op Toe (DEL),parser-clean,fm=4;stanford=4,4,4,0,none,0
legover,legover,1_safest,,backfill_canonical_op_notation,4,3,"canonical,passback,stanford","canonical_db,passback_intake,passback_source_links,stanford_corpus",1,canonical_active,2,1,0,3,LEGOVER,,,(downtime) leggy out dex>ss toe,*.-0+Z,,parser-clean,canonical=2;passback=1;stanford=2,1,2,1,small,0
leviathan,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Clip > Op In (DEX) >> Duck (BOD) >> Op Out (DEX) > Same Out (DEX) > Op Clip (XBD)(DEL),,,X-1^-0+0-X,Clip > Op In (DEX) >> Duck (BOD) >> Op Out (DEX) > Same Out (DEX) > Op Clip (XBD)(DEL),parser-clean,fm=6;stanford=6,6,6,0,none,0
little-apple,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Clip >> (back) Spin (BOD) >> (no plant while) Same In (DEX)(BOD) > Op Toe (DEL),,,X.\+!1-Z,Clip >> (back) Spin (BOD) >> (no plant while) Same In (DEX)(BOD) > Op Toe (DEL),parser-clean,fm=4;stanford=4,4,4,0,none,0
macon-bacon,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Clip > Op In (DEX) >> (front) Spin (BOD) >> (front) Spin (BOD) > Op Clip (XBD)(DEL),,,X-1.//-X,Clip > Op In (DEX) >> (front) Spin (BOD) >> (front) Spin (BOD) > Op Clip (XBD)(DEL),parser-clean,fm=5;stanford=5,5,5,0,none,0
