"name","slug","governance_state","category","source_corpus","ecosystems","parent_family","completeness","publication_status","parse_confidence","add_confidence"
"Double Illusion","double-illusion","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Double Twirl","double-twirl","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Far Double Switchover","far-double-switchover","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Far Triple Over Down","far-triple-over-down","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Flailing Butterfly","flailing-butterfly","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Flaring Butterfly","flaring-butterfly","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Floating Butterfly","floating-butterfly","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Frantic Butterfly","frantic-butterfly","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Frantic Mirage","frantic-mirage","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Frootie Illusion","frootie-illusion","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Frootie Legover","frootie-legover","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Frootie Mirage","frootie-mirage","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Frozen Butterfly","frozen-butterfly","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Fusing Mirage","fusing-mirage","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Fyro Double Legover","fyro-double-legover","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Fyro Mirage","fyro-mirage","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Grifter (same side)","grifter-same-side","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Jolimont ss Mirage","jolimont-ss-mirage","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Leaning Osis","leaning-osis","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Leaning ss Mirage","leaning-ss-mirage","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Miraging Symple Butterfly","miraging-symple-butterfly","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Neutron Double Legover","neutron-double-legover","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Neutron Drifter","neutron-drifter","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Neutron Mirage","neutron-mirage","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Null Butterfly","null-butterfly","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Phasing ss Dyno","phasing-ss-dyno","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Phasing ss Mirage","phasing-ss-mirage","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Sailing Butterfly","sailing-butterfly","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Sailing Mirage","sailing-mirage","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Sailing ss Butterfly","sailing-ss-butterfly","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Sailing ss Double Legover","sailing-ss-double-legover","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Slapping Butterfly","slapping-butterfly","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Slapping Mirage","slapping-mirage","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Slapping Osis","slapping-osis","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Slicing Butterfly","slicing-butterfly","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Smiling Far Butterfly","smiling-far-butterfly","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Surging Legover","surging-legover","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Surging ss Osis","surging-ss-osis","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Symp Illusion (same side)","symp-illusion-same-side","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Symp Mirage (same side)","symp-mirage-same-side","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Symple Butterfly (same side)","symple-butterfly-same-side","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Terraging Legover","terraging-legover","3 Observationally represented","A","multi","","","name-only","","",""
"Toe Flurry","toe-flurry","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Toe set os Triple Over Down","toe-set-os-triple-over-down","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Toe set ss Triple Over Down","toe-set-ss-triple-over-down","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Triple Mirage","triple-mirage","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Warping Mirage","warping-mirage","3 Observationally represented","A","multi","","","name-only","","",""
"Wiggle Butterfly","wiggle-butterfly","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"Zulu Butterfly","zulu-butterfly","3 Observationally represented","A","footbagmoves","","","name-only","","",""
"FOOTBAG WORLDWIDE","footbag-worldwide","3 Observationally represented","A","fborg","","","name-only","","",""
"Infracting","infracting","3 Observationally represented","A","fborg","","","name-only","","",""
"Miraging","miraging","3 Observationally represented","A","fborg","","","name-only","","",""
"Slapping","slapping","3 Observationally represented","A","fborg","","","name-only","","",""
"UNS set","uns-set","3 Observationally represented","A","fborg","","","name-only","","",""
"Zoid","zoid","3 Observationally represented","A","fborg","","","name-only","","",""
"Alpine Fusion","alpine-fusion","3 Observationally represented","A","passback","","","name-only","","",""
"Alpine Ripwalk","alpine-ripwalk","3 Observationally represented","A","passback","","","name-only","","",""
"Alpine Sidewalk","alpine-sidewalk","3 Observationally represented","A","passback","","","name-only","","",""
"Alpine Super Mario","alpine-super-mario","3 Observationally represented","A","passback","","","name-only","","",""
"Alpine Superduperfly","alpine-superduperfly","3 Observationally represented","A","passback","","","name-only","","",""
"Alpine Void","alpine-void","3 Observationally represented","A","passback","","","name-only","","",""
"Anonymous","anonymous","3 Observationally represented","A","passback","","","name-only","","",""
"Archnemesis","archnemesis","3 Observationally represented","A","passback","","","name-only","","",""
"Armaggedon","armaggedon","3 Observationally represented","A","passback","","","name-only","","",""
"ATW, Around the World","atw-around-the-world","3 Observationally represented","A","passback","","","name-only","","",""
"Badger","badger","3 Observationally represented","A","passback","","","name-only","","",""
"Barraging far Butterfly","barraging-far-butterfly","3 Observationally represented","A","passback","","","name-only","","",""
"Barraging far Eggbeater","barraging-far-eggbeater","3 Observationally represented","A","passback","","","name-only","","",""
"Barraging far Illusion","barraging-far-illusion","3 Observationally represented","A","passback","","","name-only","","",""
"Barraging far Legover","barraging-far-legover","3 Observationally represented","A","passback","","","name-only","","",""
