"name","slug","governance_state","category","source_corpus","ecosystems","parent_family","completeness","publication_status","parse_confidence","add_confidence"
"Fairy ss Torque (Muerto)","fairy-ss-torque-muerto","3 Observationally represented","B","stanford","fairy|blender-torque","","name-only","","",""
"Fairy ss XBD Rake (Swish)","fairy-ss-xbd-rake-swish","3 Observationally represented","B","stanford","fairy|dragon-rake","","name-only","","",""
"Fairy Whirl (Feral)","fairy-whirl-feral","3 Observationally represented","B","stanford","fairy|whirl-swirl","","name-only","","",""
"Fairy XBD Rake (Freak)","fairy-xbd-rake-freak","3 Observationally represented","B","stanford","fairy|dragon-rake","","name-only","","",""
"Far Butterfly (Infinity)","far-butterfly-infinity","3 Observationally represented","B","stanford","","","name-only","","",""
"Far Double Pickup (Reverse Reaper)","far-double-pickup-reverse-reaper","3 Observationally represented","B","stanford","","","name-only","","",""
"Far Double Switchover (Reaper)","far-double-switchover-reaper","3 Observationally represented","B","stanford","","","name-only","","",""
"Flailing Butterfly (Leg Breaker)","flailing-butterfly-leg-breaker","3 Observationally represented","B","stanford","","","name-only","","",""
"Flailing DOD (Frontside Fusion)","flailing-dod-frontside-fusion","3 Observationally represented","B","stanford","","","name-only","","",""
"Flailing Dolomite (Your Sister)","flailing-dolomite-your-sister","3 Observationally represented","B","stanford","","","name-only","","",""
"Flailing Ducking Butterfly (Alpine Legbreaker)","flailing-ducking-butterfly-alpine-legbreaker","3 Observationally represented","B","stanford","ducking","","name-only","","",""
"Flailing Mirage (Frontside Atom Smasher)","flailing-mirage-frontside-atom-smasher","3 Observationally represented","B","stanford","atomic","","name-only","","",""
"Flailing ss Symposium Mirage (Stampede)","flailing-ss-symposium-mirage-stampede","3 Observationally represented","B","stanford","symposium","","name-only","","",""
"Flailing ss Symposium Reverse Whirl (Gromitron)","flailing-ss-symposium-reverse-whirl-gromitron","3 Observationally represented","B","stanford","symposium|whirl-swirl","","name-only","","",""
"Flailing Symposium Mirage (Atom Bomb)","flailing-symposium-mirage-atom-bomb","3 Observationally represented","B","stanford","symposium|atomic","","name-only","","",""
"Flapper Reverse Swirling Flapper (Capuchin)","flapper-reverse-swirling-flapper-capuchin","3 Observationally represented","B","stanford","whirl-swirl","","name-only","","",""
"Flaring Butterfly (Fire Walk)","flaring-butterfly-fire-walk","3 Observationally represented","B","stanford","","","name-only","","",""
"Floating Butterfly (Floatation)","floating-butterfly-floatation","3 Observationally represented","B","stanford","","","name-only","","",""
"Frantic Mirage (Frenzy)","frantic-mirage-frenzy","3 Observationally represented","B","stanford","","","name-only","","",""
"Frozen Butterfly (Leg Freezer)","frozen-butterfly-leg-freezer","3 Observationally represented","B","stanford","","","name-only","","",""
"Fusing Mirage (Philibuster)","fusing-mirage-philibuster","3 Observationally represented","B","stanford","","","name-only","","",""
"Gyro Da Da Curve (Amadeus)","gyro-da-da-curve-amadeus","3 Observationally represented","B","stanford","gyro-spyro","","name-only","","",""
"Gyro Diving Symposium Torque (Red Giant)","gyro-diving-symposium-torque-red-giant","3 Observationally represented","B","stanford","symposium|gyro-spyro|blender-torque","","name-only","","",""
"Gyro Diving Symposium Whirl (Colossus)","gyro-diving-symposium-whirl-colossus","3 Observationally represented","B","stanford","symposium|gyro-spyro|whirl-swirl","","name-only","","",""
"Gyro Double Down (Bullwhip)","gyro-double-down-bullwhip","3 Observationally represented","B","stanford","gyro-spyro|dlo-double-down","","name-only","","",""
"Gyro Shaft (Symposium Bullwhip)","gyro-shaft-symposium-bullwhip","3 Observationally represented","B","stanford","symposium|gyro-spyro","","name-only","","",""
"Gyro Symposium DLO (Supernova)","gyro-symposium-dlo-supernova","3 Observationally represented","B","stanford","symposium|gyro-spyro|dlo-double-down","","name-only","","",""
"Gyro Symposium Mirage (Little Apple)","gyro-symposium-mirage-little-apple","3 Observationally represented","B","stanford","symposium|gyro-spyro","","name-only","","",""
"Gyro Symposium Torque Screw (Moirius)","gyro-symposium-torque-screw-moirius","3 Observationally represented","B","stanford","symposium|gyro-spyro|blender-torque","","name-only","","",""
"Gyro Torque (Mobius)","gyro-torque-mobius","3 Observationally represented","B","stanford","gyro-spyro|blender-torque","","name-only","","",""
"Gyro Torque Screw (Moby Dick)","gyro-torque-screw-moby-dick","3 Observationally represented","B","stanford","gyro-spyro|blender-torque","","name-only","","",""
"High Stepping Butterfly (Sunil Walk)","high-stepping-butterfly-sunil-walk","3 Observationally represented","B","stanford","stepping","","name-only","","",""
"Hopover Spitfire (Furnace)","hopover-spitfire-furnace","3 Observationally represented","B","stanford","eclipse-hop-over","","name-only","","",""
"Inward Gyro Torque (Inward Mobius)","inward-gyro-torque-inward-mobius","3 Observationally represented","B","stanford","gyro-spyro|blender-torque","","name-only","","",""
"L(wrap)","l-wrap","3 Observationally represented","B","stanford","","","name-only","","",""
"L_(walk)","l-walk","3 Observationally represented","B","stanford","","","name-only","","",""
"Leaning Mirage (Leaning Jowler)","leaning-mirage-leaning-jowler","3 Observationally represented","B","stanford","","","name-only","","",""
"Leaning Osis (Macon Bacon)","leaning-osis-macon-bacon","3 Observationally represented","B","stanford","","","name-only","","",""
"Leaning Torque (Timberwulff)","leaning-torque-timberwulff","3 Observationally represented","B","stanford","blender-torque","","name-only","","",""
"Miraging Double Switchover (Kilo)","miraging-double-switchover-kilo","3 Observationally represented","B","stanford","","","name-only","","",""
"Miraging Dragon (Dragster)","miraging-dragon-dragster","3 Observationally represented","B","stanford","dragon-rake","","name-only","","",""
"Miraging Flail (Downtime Backside Blizzard)","miraging-flail-downtime-backside-blizzard","3 Observationally represented","B","stanford","","","name-only","","",""
"Miraging Gyro Toe (Jughandle)","miraging-gyro-toe-jughandle","3 Observationally represented","B","stanford","gyro-spyro","","name-only","","",""
"Miraging Swirl (Swifter)","miraging-swirl-swifter","3 Observationally represented","B","stanford","whirl-swirl","","name-only","","",""
"Miraging Symposium Butterfly (Da Da Curve)","miraging-symposium-butterfly-da-da-curve","3 Observationally represented","B","stanford","symposium","","name-only","","",""
"Moshing Butterfly (Cripwalk)","moshing-butterfly-cripwalk","3 Observationally represented","B","stanford","","","name-only","","",""
"Neutron DLO (Cataclysm)","neutron-dlo-cataclysm","3 Observationally represented","B","stanford","dlo-double-down","","name-only","","",""
"Neutron Torque (Irish Cream)","neutron-torque-irish-cream","3 Observationally represented","B","stanford","blender-torque","","name-only","","",""
"Paradon Flapper (Ricochet)","paradon-flapper-ricochet","3 Observationally represented","B","stanford","","","name-only","","",""
"Paradon Osis (Ocean)","paradon-osis-ocean","3 Observationally represented","B","stanford","","","name-only","","",""
"Paradox Drifter XBD Rake (Snowflake)","paradox-drifter-xbd-rake-snowflake","3 Observationally represented","B","stanford","dragon-rake|paradox","","name-only","","",""
"Paradox Miraging Symposium Eggbeater (Armageddon)","paradox-miraging-symposium-eggbeater-armageddon","3 Observationally represented","B","stanford","symposium|paradox","","name-only","","",""
"Paradox Miraging Symposium Mirage (Voodoo)","paradox-miraging-symposium-mirage-voodoo","3 Observationally represented","B","stanford","symposium|paradox","","name-only","","",""
"Paradox Symposium Torque (PS Torque)","paradox-symposium-torque-ps-torque","3 Observationally represented","B","stanford","symposium|blender-torque|paradox","","name-only","","",""
"Phasing Dyno (Downward Spiral)","phasing-dyno-downward-spiral","3 Observationally represented","B","stanford","","","name-only","","",""
"Phasing Mirage (Phase)","phasing-mirage-phase","3 Observationally represented","B","stanford","","","name-only","","",""
"Phasing Osis (Spiral)","phasing-osis-spiral","3 Observationally represented","B","stanford","","","name-only","","",""
"Phasing ss Swirl (Frankenstein)","phasing-ss-swirl-frankenstein","3 Observationally represented","B","stanford","whirl-swirl","","name-only","","",""
"Pixie Butterfly Reverse Swirl (Dimwalk Reverse Swirl)","pixie-butterfly-reverse-swirl-dimwalk-reverse-swirl","3 Observationally represented","B","stanford","pixie|whirl-swirl","","name-only","","",""
"Pixie Butterfly Swirl (Dimwalk Swirl)","pixie-butterfly-swirl-dimwalk-swirl","3 Observationally represented","B","stanford","pixie|whirl-swirl","","name-only","","",""
"Pixie Butterfly Swivel (Dimwalk Swivel)","pixie-butterfly-swivel-dimwalk-swivel","3 Observationally represented","B","stanford","pixie","","name-only","","",""
"Pixie Butterfly XBD Rake (Dimwalk Rake)","pixie-butterfly-xbd-rake-dimwalk-rake","3 Observationally represented","B","stanford","pixie|dragon-rake","","name-only","","",""
"Pixie Diving Butterfly (Darkwalk)","pixie-diving-butterfly-darkwalk","3 Observationally represented","B","stanford","pixie","","name-only","","",""
"Pixie Diving Osis (Alpine Maverick)","pixie-diving-osis-alpine-maverick","3 Observationally represented","B","stanford","pixie","","name-only","","",""
"Pixie DOD (Dimmier)","pixie-dod-dimmier","3 Observationally represented","B","stanford","pixie","","name-only","","",""
"Pixie Ducking Butterfly (Phoenix)","pixie-ducking-butterfly-phoenix","3 Observationally represented","B","stanford","ducking|pixie","","name-only","","",""
"Pixie Ducking Butterfly Swirl (Phoenix Swirl)","pixie-ducking-butterfly-swirl-phoenix-swirl","3 Observationally represented","B","stanford","ducking|pixie|whirl-swirl","","name-only","","",""
"Pixie Ducking Butterfly XBD Rake (Phoenix Rake)","pixie-ducking-butterfly-xbd-rake-phoenix-rake","3 Observationally represented","B","stanford","ducking|pixie|dragon-rake","","name-only","","",""
"Pixie Ducking DLO (Goliath)","pixie-ducking-dlo-goliath","3 Observationally represented","B","stanford","ducking|pixie|dlo-double-down","","name-only","","",""
"Pixie Ducking Mirage (Assassin)","pixie-ducking-mirage-assassin","3 Observationally represented","B","stanford","ducking|pixie","","name-only","","",""
"Pixie Ducking Spinning Toe (Wahnsinn)","pixie-ducking-spinning-toe-wahnsinn","3 Observationally represented","B","stanford","ducking|pixie|spinning","","name-only","","",""
"Pixie Gyro DLO (Gilan)","pixie-gyro-dlo-gilan","3 Observationally represented","B","stanford","pixie|gyro-spyro|dlo-double-down","","name-only","","",""
"Pixie Gyro Torque (Pixie Mobius)","pixie-gyro-torque-pixie-mobius","3 Observationally represented","B","stanford","pixie|gyro-spyro|blender-torque","","name-only","","",""
"Pixie Mirage (Smear)","pixie-mirage-smear","3 Observationally represented","B","stanford","pixie","","name-only","","",""
"Pixie Miraging Butterfly (Yoda)","pixie-miraging-butterfly-yoda","3 Observationally represented","B","stanford","pixie","","name-only","","",""
"Pixie Miraging Symposium Eggbeater (Pixie Armageddon)","pixie-miraging-symposium-eggbeater-pixie-armageddon","3 Observationally represented","B","stanford","pixie|symposium","","name-only","","",""
"Pixie Spinning Blender (Overlord)","pixie-spinning-blender-overlord","3 Observationally represented","B","stanford","pixie|spinning|blender-torque","","name-only","","",""
"Pixie Spinning PS Whirl (Blue Widow)","pixie-spinning-ps-whirl-blue-widow","3 Observationally represented","B","stanford","pixie|spinning|whirl-swirl","","name-only","","",""
"Pixie Spinning Whirl (Slapstick)","pixie-spinning-whirl-slapstick","3 Observationally represented","B","stanford","pixie|spinning|whirl-swirl","","name-only","","",""
"Pixie ss Butterfly Swirl (Park Walk Swirl)","pixie-ss-butterfly-swirl-park-walk-swirl","3 Observationally represented","B","stanford","pixie|whirl-swirl","","name-only","","",""
