"source_file","passback_primary_name","passback_alternate_names","passback_technical_name","passback_uptime_component","passback_downtime_component","passback_dex_count","passback_notes","normalized_primary_name","candidate_trick_slug","match_status","match_reason","match_confidence","passback_dex_count_vs_ifpa_adds","review_status","operator_notes"
"passback-dicrionary.txt","Legover","Switch","(downtime) leggy out dex>ss toe","","Legover","1","","legover","legover","matched_existing","exact_slug","high","-1","auto_ok",""
"passback-dicrionary.txt","Leviathon","","Stepping Ducking far Double Down","Stepping","Symp. Double Down","3","","leviathon","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Locomotion","","Stepping far Motion","Stepping","Motion","3","","locomotion","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Maelstrom","","Spinning Ducking far Whirl, Alpine Spinning Whirl, Spinning Tomahawk","","","1","","maelstrom","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Magellan","","Pixie near Legover","Pixie","Legover","2","","magellan","magellan","matched_existing","exact_slug","high","-1","auto_ok",""
"passback-dicrionary.txt","Mama Curve","","(downtime) Illusioning far Symp. Butterfly","","","2","","mama-curve","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Mantis","","Spinning near Eggbeater","Spinning","Eggbeater","2","","mantis","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Marius","","Spinning Torque","Spinning","Torque","1","","marius","spinning-torque","matched_existing","exact_alias_text","high","-4","auto_ok",""
"passback-dicrionary.txt","Massacre","","(downtime) Illusioning Flail","","","2","","massacre","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Matador","","Nuclear far Butterfly","Nuclear","Butterfly","2","","matador","matador","matched_existing","exact_slug","high","-3","auto_ok",""
"passback-dicrionary.txt","Merkon","","Spinning Legover","Spinning","Legover","1","","merkon","merkon","matched_existing","exact_slug","high","-2","auto_ok",""
"passback-dicrionary.txt","Merlin","","(downtime) Miraging Symp.Mirage","","","2","","merlin","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Mind Bender","","Clipper Ducking far Blender","","Blender","1","","mind-bender","mind-bender","matched_existing","exact_slug","high","-5","auto_ok",""
"passback-dicrionary.txt","Mirage","","(downtime) hippy in dex>op toe","","Mirage","1","","mirage","mirage","matched_existing","exact_slug","high","-1","auto_ok",""
"passback-dicrionary.txt","Mobius","","Gyro Torque","Spinning","Torque","1","","mobius","mobius","matched_existing","exact_slug","high","-4","auto_ok",""
"passback-dicrionary.txt","Moby Dick","","Mobiusscrew, Gyro Torquescrew","","","2","","moby-dick","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Mofly","","(downtime) Miraging far Symp. Double Down","","","3","","mofly","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Monster","","Symp. Swirling Gyro Inside","","","","","monster","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Montage","","Spinning Ducking far Symp. Whirl","Spinning","Symp. Whirl","1","","montage","montage","matched_existing","exact_slug","high","-6","auto_ok",""
"passback-dicrionary.txt","Morpheus","","Spinning Ducking far Drifter, Alpine Void","","","1","","morpheus","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Mortal Kombat","","Stepping Ducking far Grifter","Stepping","Grifter","2","","mortal-kombat","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Motion","","Double Down near Osis","","Motion","2","","motion","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Motion Sickness","","Spinning far Motion","Spinning","Motion","2","","motion-sickness","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Motorfly","","","","","","","motorfly","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Mullet","","Clipper Ducking far Symp. Whirl, Symp. Tomahwak","","Symp. Whirl","1","","mullet","mullet","matched_existing","exact_slug","high","-5","auto_ok",""
"passback-dicrionary.txt","Nallegam","","Fairy near Pickup","Fairy","Pickup","2","Name and trick are a mirror of Magellan","nallegam","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Nebula","","Barraging far DLO","Barraging","DLO","4","","nebula","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Nemesis","","Barraging far Double Down","Barraging","Double Down","4","","nemesis","nemesis","matched_existing","exact_slug","high","-2","auto_ok",""
"passback-dicrionary.txt","Nemosis","","Barraging far Motion, Nemesis Osis","Barraging","Motion","4","","nemosis","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Nova","","Symp. DLO","","","","","nova","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Orbit","","toe>ss leggy out dex>ss toe","","","1","","orbit","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Osis","","(downtime) Gyro Clipper","","Osis","0","","osis","osis","matched_existing","exact_slug","high","-3","auto_ok",""
"passback-dicrionary.txt","Pandemonium","","Pixie far Symp. Eggbeater, BS Pigbeater","Pixie","Symp. Eggbeater","3","","pandemonium","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Pandora's Box","","Gyro Pickup","","","1","","pandoras-box","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Paradon","","Toe far Double Down","","Double Down","2","","paradon","paradon","matched_existing","exact_slug","high","-2","auto_ok",""
"passback-dicrionary.txt","Paratoxic","","Pdx. Toxic","","","2","","paratoxic","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Parkwalk","","Pixie near Butterfly","Pixie","Butterfly","2","","parkwalk","parkwalk","matched_existing","exact_slug","high","-2","auto_ok",""
"passback-dicrionary.txt","Paste","","Pixie far Pickup","Pixie","Pickup","2","","paste","paste","matched_existing","exact_slug","high","-1","auto_ok",""
"passback-dicrionary.txt","Phobia","","Fairy Mobius, Fairy Gyro Torque","Fairy Spinning","Torque","2","","phobia","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Phoenix","","Pixie Ducking Butterfly","Pixie","Butterfly","2","","phoenix","phoenix","matched_existing","exact_slug","high","-3","auto_ok",""
"passback-dicrionary.txt","Pickup","","(downtime) leggy in dex>ss toe","","Pickup","1","","pickup","pickup","matched_existing","exact_slug","high","-1","auto_ok",""
"passback-dicrionary.txt","Pigbeater","","Pixie far Eggbeater","Pixie","Eggbeater","3","","pigbeater","pigbeater","matched_existing","exact_slug","high","-1","auto_ok",""
"passback-dicrionary.txt","Pixie (archaic)","","Midtime Toe near Mirage","","","","","pixie-archaic","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Plasma","","Quantum far Double Down","Quantum","Double Down","3","","plasma","plasma","matched_existing","exact_slug","high","-2","auto_ok",""
"passback-dicrionary.txt","PLO","","Pixie far Legover","Pixie","Legover","2","","plo","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","POD","Pixie Over Down","Pixie DOD, Pixie near Double Down","Pixie","Double Down","3","","pod","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Pogo","","Pogo far Mirage, (uptime) Symp. Miraging far Mirage","Pogo","Mirage","2","","pogo","pogo","conflict","exact_slug|dex_exceeds_adds","high","2","needs_review",""
"passback-dicrionary.txt","Porque","","Pixie Torque","Pixie","Torque","2","","porque","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Predator","","Atomic far DLO","Atomic","DLO","3","sister trick to Bladerunner","predator","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","PS Whirl","","Pdx Symp Whirl, Clipper far Symp Whirl","","","","","ps-whirl","paradox-symposium-whirl","matched_existing","exact_alias_text","high","","auto_ok",""
"passback-dicrionary.txt","Quark","","Quantum far Torque","Quantum","Torque","2","","quark","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Rage","","BS Fury, (uptime) Baragging far Symp. Mirage","Symp. Barraging","Mirage","3","","rage","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Rake","Xbd Rake","Toe Stall dragged from Xbd position","","","","","rake","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Reactor","","Atomic far Whirl","Atomic","Whirl","2","","reactor","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Reaper","","Clipper far DSO","","DSO","2","","reaper","reaper","matched_existing","exact_slug","high","-1","auto_ok",""
"passback-dicrionary.txt","Refraction","","Butterfy near Osis","","Refraction","1","","refraction","refraction","matched_existing","exact_slug","high","-2","auto_ok",""
"passback-dicrionary.txt","Revstein","","double-dex Twist","","","2","","revstein","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Revup","","(downtime) Twisting near Pickup","","","2","","revup","rev-up","matched_existing","exact_alias_text","high","-1","auto_ok",""
"passback-dicrionary.txt","Ripcurl","","Stepping near Butterfly Swirl, Sidewalk Swirl","Stepping","","2","","ripcurl","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Ripped Warrior","","Stepping Ducking Butterfly, Alpine Ripwalk","Stepping","Butterfly","2","","ripped-warrior","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Ripstein","","double-dex Swirl, Swirling near Swirl","Swirling","","2","","ripstein","ripstein","matched_existing","exact_slug","high","-2","auto_ok",""
"passback-dicrionary.txt","Riptide","","Stepping far Butterfly Swirl, Ripwalk Swirl","Stepping","","2","","riptide","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Ripwalk","","Stepping far Butterfly","Stepping","Butterfly","2","","ripwalk","ripwalk","matched_existing","exact_slug","high","-2","auto_ok",""
"passback-dicrionary.txt","Rotor","","(downtime) Swirling Gyro Inside Stall","","","","","rotor","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Royale","","Clipper far Grifter","","Grifter","1","","royale","royale","matched_existing","exact_slug","high","-3","auto_ok",""
"passback-dicrionary.txt","Schmoe","","Stepping near Legover","Stepping","Legover","2","","schmoe","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Scorpion's Tail","","Spinning far Double Down","Spinning","Double Down","2","","scorpions-tail","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Shaft","","Clipper near Symp. Double Down, Symp. DDD","","Symp. Double Down","2","","shaft","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Shooting Star","","Shooting far Double Down, Pogo Nuclear far Double Down","","","4","first 4-dex, but controversial about cleanliness","shooting-star","","new_candidate","no_match","medium","","needs_review",""
