"trick_slug","symbolic_group_id","membership_reason","confidence","source"
"fairy_clipper","clipper-ending","compound terminates in clipper_stall via wing-motion or canonical-name pattern","medium","canonical-name heuristic"
"fairy_drifter","drifter-miraging-clipper-topology","base_trick=drifter","high","topology heuristic"
"fairy_ducking_blender","blender-rotational-topology","base_trick=blender","high","topology heuristic"
"fairy_ducking_blender","ducking-family","modifier_link=ducking","high","freestyle_trick_modifier_links"
"fairy_ducking_butterfly","clipper-ending","compound terminates in clipper_stall via wing-motion or canonical-name pattern","medium","canonical-name heuristic"
"fairy_ducking_butterfly","ducking-family","modifier_link=ducking","high","freestyle_trick_modifier_links"
"fairy_ducking_clipper","clipper-ending","compound terminates in clipper_stall via wing-motion or canonical-name pattern","medium","canonical-name heuristic"
"fairy_ducking_clipper","ducking-family","modifier_link=ducking","high","freestyle_trick_modifier_links"
"fairy_ducking_double_leg_over","ducking-family","modifier_link=ducking","high","freestyle_trick_modifier_links"
"fairy_ducking_drifter","ducking-family","modifier_link=ducking","high","freestyle_trick_modifier_links"
"fairy_ducking_illusion","ducking-family","modifier_link=ducking","high","freestyle_trick_modifier_links"
"fairy_ducking_legover","ducking-family","modifier_link=ducking","high","freestyle_trick_modifier_links"
"fairy_ducking_osis","ducking-family","modifier_link=ducking","high","freestyle_trick_modifier_links"
"fairy_ducking_pickup","ducking-family","modifier_link=ducking","high","freestyle_trick_modifier_links"
"fairy_ducking_torque","ducking-family","modifier_link=ducking","high","freestyle_trick_modifier_links"
"fairy_ducking_torque","torque-rotational-topology","base_trick=torque","high","topology heuristic"
"fairy_ducking_whirl","ducking-family","modifier_link=ducking","high","freestyle_trick_modifier_links"
"fairy_eclipse","clipper-ending","compound terminates in clipper_stall via wing-motion or canonical-name pattern","medium","canonical-name heuristic"
"fairy_gyro_barrage","double-dex-topology","barrage/barfly canonical double-dex pattern","high","topology heuristic"
"fairy_gyro_barrage","gyro-family","modifier_link=gyro","high","freestyle_trick_modifier_links"
"fairy_gyro_butterfly","clipper-ending","compound terminates in clipper_stall via wing-motion or canonical-name pattern","medium","canonical-name heuristic"
"fairy_gyro_butterfly","gyro-family","modifier_link=gyro","high","freestyle_trick_modifier_links"
"fairy_gyro_double_leg_over","gyro-family","modifier_link=gyro","high","freestyle_trick_modifier_links"
"fairy_gyro_mirage","gyro-family","modifier_link=gyro","high","freestyle_trick_modifier_links"
"fairy_gyro_mirage","toe-ending","compound terminates in toe_stall via canonical-name pattern","medium","canonical-name heuristic"
"fairy_gyro_symposium_mirage","gyro-family","modifier_link=gyro","high","freestyle_trick_modifier_links"
"fairy_gyro_symposium_mirage","no-plant-while-symposium","modifier_link=symposium","high","execution-pattern rule"
"fairy_gyro_symposium_mirage","symposium-family","modifier_link=symposium","high","freestyle_trick_modifier_links"
"fairy_gyro_symposium_mirage","toe-ending","compound terminates in toe_stall via canonical-name pattern","medium","canonical-name heuristic"
"fairy_gyro_torque","gyro-family","modifier_link=gyro","high","freestyle_trick_modifier_links"
"fairy_gyro_torque","torque-rotational-topology","base_trick=torque","high","topology heuristic"
"fairy_gyro_whirl","gyro-family","modifier_link=gyro","high","freestyle_trick_modifier_links"
"fairy_illusion","hippy-out-dex","base_trick=illusion","high","base_trick mapping"
"fairy_illusion","illusion-topology","base_trick=illusion","high","topology heuristic"
"fairy_kick","stall-1add-topology","1-ADD primitive contact/stall","high","topology heuristic"
"fairy_legover","leggy-pass","base_trick=legover","high","base_trick mapping"
"fairy_legover","legover-topology","base_trick=legover","high","topology heuristic"
"fairy_mirage","hippy-in-dex","base_trick=mirage","high","base_trick mapping"
"fairy_mirage","mirage-topology","base_trick=mirage","high","topology heuristic"
"fairy_mirage","toe-ending","compound terminates in toe_stall via canonical-name pattern","medium","canonical-name heuristic"
"fairy_osis","osis-rotational-topology","base_trick=osis","high","topology heuristic"
"fairy_pickup","pickup-topology","base_trick=pickup","high","topology heuristic"
