"source","source_file","move_name","alternate_names","technical_name","source_adds","symbolic_notation_raw","start_contact","uptime_dex_1","uptime_dex_2","uptime_state_flags","midtime_body_actions","downtime_dexes","final_contact","surface_flags","positional_flags","component_flags","parsed_symbol_sequence","derived_adds","source_vs_derived_delta","derived_symbolic_family","derived_topology_family","unresolved_tokens","parse_confidence","review_status","notes"
"footbagmoves","footbagmoves-3-4adds.txt","Ferocious","Flow","Fairy Osis","4","Toe > Same Out (DEX) >> (front) Spin (BOD) > Op Clip (XBD)(DEL)","toe","same out","","","front-spin","","clip","","XBD","DEX|BOD|XBD|DEL","toe › same out(DEX) ⟫ [front] spin(BOD) › op clip(XBD,DEL)","4","0","toe-spin-clip","spin-family","","high","ok",""
"footbagmoves","footbagmoves-3-4adds.txt","Flaming Homer","","Fairy ss Eggbeater","4","Toe > Same Out (DEX) >> Same Out (DEX) > Op Out (DEX) > Same Toe (DEL)","toe","same out","same out","","","op out","toe","","","DEX|DEX|DEX|DEL","toe › same out(DEX) ⟫ same out(DEX) › op out(DEX) › same toe(DEL)","4","0","toe-multi-dex-toe","multi-dex-family","","high","ok",""
"footbagmoves","footbagmoves-3-4adds.txt","Flaming Tard","Wet Dream","Stepping Eggbeater","4","Clip > Op In (DEX) >> Same Out (DEX) > Op Out (DEX) > Same Toe (DEL)","clip","op in","same out","","","op out","toe","","","DEX|DEX|DEX|DEL","clip › op in(DEX) ⟫ same out(DEX) › op out(DEX) › same toe(DEL)","4","0","clip-multi-dex-toe","multi-dex-family","","high","ok",""
"footbagmoves","footbagmoves-3-4adds.txt","Flipwalk","","Dragon set Stepping op Firewalk","4","Dragon > Op In (DEX) >> Op Out (DEX) > Op Clip (XBD)(DEL)","named:dragon","op in","","","","op out","clip","","XBD","DEX|DEX|XBD|DEL","Dragon › op in(DEX) ⟫ op out(DEX) › op clip(XBD,DEL)","4","0","?-walk-clip","butterfly-walk-family","dragon","medium","needs_review",""
"footbagmoves","footbagmoves-3-4adds.txt","Flog","","Fairy Double Legover","4","Toe > Same Out (DEX) >> Op In (DEX) > Op Out (DEX) > Same Toe (DEL)","toe","same out","op in","","","op out","toe","","","DEX|DEX|DEX|DEL","toe › same out(DEX) ⟫ op in(DEX) › op out(DEX) › same toe(DEL)","4","0","toe-multi-dex-toe","multi-dex-family","","high","ok",""
"footbagmoves","footbagmoves-3-4adds.txt","Flurry","","Barraging Legover","4","Clip > Op In (DEX) > Same In (DEX) >> Op Out (DEX) > Same Toe (DEL)","clip","op in","same in","","","op out","toe","","","DEX|DEX|DEX|DEL","clip › op in(DEX) › same in(DEX) ⟫ op out(DEX) › same toe(DEL)","4","0","clip-multi-dex-toe","multi-dex-family","","high","ok",""
"footbagmoves","footbagmoves-3-4adds.txt","Flurry (toe set)","","Barraging Legover","4","Clip > Op In (DEX) > Same In (DEX) >> Op Out (DEX) > Same Toe (DEL)","clip","op in","same in","","","op out","toe","","","DEX|DEX|DEX|DEL","clip › op in(DEX) › same in(DEX) ⟫ op out(DEX) › same toe(DEL)","4","0","clip-multi-dex-toe","multi-dex-family","","high","ok",""
"footbagmoves","footbagmoves-3-4adds.txt","Flux","","Reverse Torque","4","Set >> Op Out (DEX) > (front) Spin (BOD) > Op Clip (XBD)(DEL)","set","op out","","","front-spin","","clip","","XBD","DEX|BOD|XBD|DEL","set ⟫ op out(DEX) › [front] spin(BOD) › op clip(XBD,DEL)","4","0","set-spin-clip","spin-family","","high","ok",""
"footbagmoves","footbagmoves-3-4adds.txt","Freak","","Fairy Crossbody Rake","4","Toe > Same Out (DEX) >> Same Crossbody Rake (XBD)(DEL)(DEX)","toe","same out","","","","same [XBD]","Same Crossbody Rake (XBD)(DEL)(DEX)","","XBD","DEX|XBD|DEL|DEX","toe › same out(DEX) ⟫ same(XBD,DEL,DEX)","4","0","toe-double-dex-?","double-dex-family","crossbody rake","medium","needs_review",""
"footbagmoves","footbagmoves-3-4adds.txt","Fume","","Fairy Drifter","4","Toe > Same Out (DEX) >> Op In (DEX) > Same Clip (XBD)(DEL)","toe","same out","","","","op in","clip","","XBD","DEX|DEX|XBD|DEL","toe › same out(DEX) ⟫ op in(DEX) › same clip(XBD,DEL)","4","0","toe-double-dex-clip","double-dex-family","","high","ok",""
