"canonical_slug","display_name","source","source_file","source_adds","derived_adds","add_formula","symbolic_notation_raw","parsed_symbol_sequence","derived_symbolic_family","derived_topology_family","doctrine_status","first_class","curator_review_needed","publication_status","unresolved_questions","provenance_notes","parser_notes","review_status"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Clip >> Dive (BOD) > Same Front Whirl (DEX) > Op Clip (XBD)(DEL)","clip ⟫ dive(BOD) › same front whirl(DEX) › op clip(XBD,DEL)","clip-dive-whirl","dive-family","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Clip > Same Out (DEX) >> Same Front Whirl (DEX) > Op Clip (XBD)(DEL)","clip › same out(DEX) ⟫ same front whirl(DEX) › op clip(XBD,DEL)","clip-front-whirl-clip","whirl-family","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Toe > Op Out (DEX) >> (back) Spin (BOD) >> Op In (DEX) > Op Toe (DEL)","toe › op out(DEX) ⟫ [back] spin(BOD) ⟫ op in(DEX) › op toe(DEL)","toe-spin-toe","spin-family","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Clip > Op In (DEX) >> (front) Spin (BOD) >> Same In (DEX) > Op Toe (DEL)","clip › op in(DEX) ⟫ [front] spin(BOD) ⟫ same in(DEX) › op toe(DEL)","clip-spin-toe","spin-family","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Frigidosis > Op Out (DEX) >> Op Out (DEX) > Op Clip (XBD)(DEL)","Frigidosis › op out(DEX) ⟫ op out(DEX) › op clip(XBD,DEL)","?-double-dex-clip","double-dex-family","","","","","","","","needs_review"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Clip >> (back) Spin (BOD) >> (no plant while) Same In (DEX)(BOD) > Op Toe (DEL)","clip ⟫ [back] spin(BOD) ⟫ [no plant while] same in(DEX,BOD) › op toe(DEL)","clip-spin-toe","spin-family","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Clip >> (back) Spin (BOD) >> Same Out (DEX) > Op Out (DEX) > Same Toe (DEL)","clip ⟫ [back] spin(BOD) ⟫ same out(DEX) › op out(DEX) › same toe(DEL)","clip-spin-toe","spin-family","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Toe > Same In (DEX) >> (back) Spin (BOD) > Same Clip (XBD)(DEL)","toe › same in(DEX) ⟫ [back] spin(BOD) › same clip(XBD,DEL)","toe-spin-clip","spin-family","","","","","","","","ok"
