fm_name,target_slug,target_canonical,divergence_type,fm_technical_name,flag
Infinity,butterfly,butterfly,already-an-alias,Butterfly (op),covered
Infinity Swirl,butterfly_swirl,butterfly-swirl,already-an-alias,Butterfly Swirl (op),covered
Janiwalker,barraging_butterfly,barraging-butterfly,already-an-alias,Barraging Butterfly (op),covered
Janiwalker,barraging_butterfly,barraging-butterfly,already-an-alias,Barraging Butterfly (op),covered
Merlin,miraging_symposium_mirage,miraging-symposium-mirage,already-an-alias,Miraging Symp Mirage (op),covered
PLO,pixie_legover,pixie-legover,already-an-alias,Pixie Legover (op),covered
Paste (ss),paste,paste,positional/directional,Pixie Pickup (ss),ADD-untrusted
Pigbeater (ss),pigbeater,pigbeater,positional/directional,Pixie Eggbeater (ss),ADD-untrusted
Pixie DSO,pixie_double_switch_over,pixie double switch-over,already-an-alias,Pixie DSO (op),covered
Pixie DSO (ss),pixie_double_switch_over,pixie double switch-over,positional/directional,Pixie DSO (ss),ADD-untrusted
Pixie Double Pickup (ss),pixie_double_pickup,pixie-double-pickup,positional/directional,Pixie Double Pickup (ss),ADD-untrusted
Swifter,stepping_swirl,stepping-swirl,already-an-alias,Stepping Swirl (op),covered
Swifter,stepping_swirl,stepping-swirl,already-an-alias,Stepping Swirl (op),covered
Toe Blur,quantum_mirage,quantum-mirage,already-an-alias,Quantum Mirage (op),covered
Void,spinning_drifter,spinning-drifter,already-an-alias,Spinning Drifter (op),covered
Void,spinning_drifter,spinning-drifter,already-an-alias,Spinning Drifter (op),covered
Weaving Magellan,pixie_ducking_legover,pixie-ducking-legover,already-an-alias,Pixie Legover (ducking) (ss),covered
Weaving Pigbeater,pixie_ducking_eggbeater,pixie-ducking-eggbeater,already-an-alias,Pixie Eggbeater (ducking) (ss),covered
Whirlygig,stepping_symposium_whirl,stepping-symposium-whirl,already-an-alias,Stepping Whirl (op) (symp),covered
Whirr,double_whirl,double-whirl,already-an-alias,Whirl (ss) (double),covered
Whirr,double_whirl,double-whirl,already-an-alias,Whirl (ss) (double),covered
Clipper Kick,clipper,clipper,already-an-alias,,covered
Forehead Delay,forehead_stall,forehead stall,already-an-alias,,covered
Frigidosis,osis,osis,already-an-alias,,covered
Inside Delay,inside_stall,inside stall,already-an-alias,,covered
Knee Delay,knee_stall,knee stall,already-an-alias,,covered
Neck Delay,neck_stall,neck stall,already-an-alias,,covered
Outside Delay,outside_stall,outside stall,already-an-alias,,covered
Shoulder Delay,shoulder_stall,shoulder stall,already-an-alias,,covered
Toe Delay,toe_stall,toe stall,already-an-alias,,covered
Cloud Delay,cloud_stall,cloud stall,already-an-alias,,covered
Flapper,cross_body_sole_stall,cross-body sole stall,already-an-alias,,covered
Heel Delay,heel_stall,heel stall,already-an-alias,,covered
Leg Over,legover,legover,already-an-alias,,covered
Pincher (Squeeze),squeeze,squeeze,already-an-alias,,covered
Sole Delay,sole_stall,sole stall,already-an-alias,,covered
Flapper Delay,cross_body_sole_stall,cross-body sole stall,already-an-alias,,covered
Toe Blizzard,quantum_illusion,quantum-illusion,already-an-alias,,covered
Paralax,parallax,parallax,already-an-alias,,covered
Inspinning Same Side Butterfly,inspinning_butterfly,inspinning-butterfly,already-an-alias,,covered
Backside Symposium Toe Blur,quantum_symposium_mirage,quantum-symposium-mirage,already-an-alias,,covered
Da Da Curve,dada_curve,dada curve,already-an-alias,,covered
Stepping Opposite Reaper,stepping_double_switch_over,stepping double switch-over,already-an-alias,,covered
Stepping Opposite Side Reverse Whirl,stepping_rev_whirl,stepping-rev-whirl,already-an-alias,,covered
